job,start_time,end_time,elapse,state,ip,,,,
dispaching_bam,04:06.1,05:22.4,76,COMPLETE,14.12.18.216,,,,
dispaching_bam,04:06.3,05:28.7,82,COMPLETE,14.12.30.207,,,,
dispaching_bam,04:06.1,05:29.4,83,COMPLETE,14.12.16.198,,,,
dispaching_bam,04:06.3,05:29.8,83,COMPLETE,14.12.17.231,,,,
dispaching_bam,04:06.0,05:31.1,85,COMPLETE,14.12.31.165,,,,
dispaching_bam,04:06.4,05:32.1,85,COMPLETE,14.12.16.239,,,,
dispaching_bam,04:05.7,05:30.7,85,COMPLETE,14.12.16.78,,,,
dispaching_bam,04:06.2,05:31.2,85,COMPLETE,14.12.27.42,,,,
dispaching_bam,04:06.2,05:32.4,86,COMPLETE,14.12.18.99,,,,
dispaching_bam,04:06.2,05:33.1,86,COMPLETE,14.12.20.213,,,,
dispaching_bam,04:06.3,05:34.8,88,COMPLETE,14.12.31.194,,,,
dispaching_bam,04:05.8,05:34.5,88,COMPLETE,14.12.25.188,,,,
dispaching_bam,04:06.2,05:36.7,90,COMPLETE,14.12.22.163,,,,
dispaching_bam,04:06.3,05:35.3,88,COMPLETE,14.12.22.139,,,,
dispaching_bam,04:06.3,05:36.9,90,COMPLETE,14.12.17.63,,,,
dispaching_bam,04:05.9,05:35.9,90,COMPLETE,14.12.31.54,,,,
dispaching_bam,04:06.0,05:36.2,90,COMPLETE,14.12.16.183,,,,
dispaching_bam,04:06.3,05:37.9,91,COMPLETE,14.12.19.43,,,,
dispaching_bam,04:06.2,05:38.1,91,COMPLETE,14.12.22.4,,,,
dispaching_bam,04:05.9,05:38.0,92,COMPLETE,14.12.31.88,,,,
dispaching_bam,04:05.9,05:38.6,92,COMPLETE,14.12.23.158,,,,
dispaching_bam,04:06.3,05:37.5,91,COMPLETE,14.12.31.123,,,,
dispaching_bam,04:06.2,05:38.8,92,COMPLETE,14.12.23.187,,,,
dispaching_bam,04:05.8,05:37.7,91,COMPLETE,14.12.21.185,,,,
dispaching_bam,04:06.3,05:40.1,93,COMPLETE,14.12.28.204,,,,
dispaching_bam,04:06.3,05:39.7,93,COMPLETE,14.12.23.7,,,,
dispaching_bam,04:06.4,05:39.4,92,COMPLETE,14.12.16.148,,,,
dispaching_bam,04:06.3,05:42.3,96,COMPLETE,14.12.22.183,,,,
dispaching_bam,04:05.8,05:42.0,96,COMPLETE,14.12.19.109,,,,
dispaching_bam,04:06.2,05:44.5,98,COMPLETE,14.12.21.15,,,,
dispaching_bam,04:06.3,05:44.7,98,COMPLETE,14.12.30.87,,,,
dispaching_bam,04:06.2,05:44.1,97,COMPLETE,14.12.25.24,,,,
dispaching_bam,04:06.2,05:44.0,97,COMPLETE,14.12.28.34,,,,
dispaching_bam,04:06.3,05:46.4,100,COMPLETE,14.12.19.239,,,,
dispaching_bam,04:05.9,05:45.1,99,COMPLETE,14.12.19.32,,,,
dispaching_bam,04:06.3,05:46.0,99,COMPLETE,14.12.20.125,,,,
dispaching_bam,04:06.3,05:49.6,103,COMPLETE,14.12.24.158,,,,
dispaching_bam,04:06.3,05:50.0,103,COMPLETE,14.12.26.6,,,,
dispaching_bam,04:06.2,05:52.2,105,COMPLETE,14.12.28.73,,,,
dispaching_bam,04:06.1,05:51.5,105,COMPLETE,14.12.22.67,,,,
dispaching_bam,04:06.3,05:51.7,105,COMPLETE,14.12.26.147,,,,
dispaching_bam,04:06.3,05:53.7,107,COMPLETE,14.12.21.21,,,,
dispaching_bam,04:05.7,05:53.7,107,COMPLETE,14.12.28.17,,,,
dispaching_bam,04:06.2,05:57.7,111,COMPLETE,14.12.30.159,,,,
dispaching_bam,04:06.4,06:00.8,114,COMPLETE,14.12.28.82,,,,
dispaching_bam,04:06.4,06:01.8,115,COMPLETE,14.12.17.4,,,,
dispaching_bam,04:06.3,06:02.7,116,COMPLETE,14.12.24.28,,,,
dispaching_bam,04:06.3,06:02.0,115,COMPLETE,14.12.16.76,,,,
dispaching_bam,04:06.2,06:04.5,118,COMPLETE,14.12.23.1,,,,
dispaching_bam,04:05.9,06:03.8,117,COMPLETE,14.12.26.28,,,,